Country,Year,Month,Region,Fires_Count,Burned_Area_Ha,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh
India,1917,August,Madhya Pradesh,269,47474,Unknown,38,64,36
India,1917,October,Assam,287,50351,Unknown,15,89,50
Turkey,1918,September,Mugla,133,18029,Deforestation,46,66,19
Turkey,1918,October,Antalya,420,7294,Unknown,32,43,50
Turkey,1918,September,Izmir,86,26283,Lightning,21,40,19
Spain,1918,August,Catalonia,42,14366,Human,23,76,52
Spain,1918,July,Andalusia,86,51688,Unknown,44,8,40
USA,1918,August,California,452,80380,Unknown,26,70,23
USA,1918,August,Texas,385,92937,Unknown,29,92,2
USA,1918,May,Oregon,355,96495,Lightning,19,54,43
Brazil,1918,October,Amazonas,384,87023,Lightning,16,78,18
Brazil,1918,August,Mato Grosso,331,33185,Human,45,38,46
Greece,1918,June,Athens,183,8161,Lightning,29,82,51
Greece,1918,September,Crete,420,88678,Lightning,17,80,49
Australia,1918,May,New South Wales,11,75120,Lightning,18,14,18
Australia,1918,August,Victoria,138,57142,Climate Change,46,78,10
Portugal,1918,July,Lisbon,209,43830,Climate Change,38,8,25
Portugal,1918,July,Porto,487,89180,Climate Change,49,60,41
Italy,1918,September,Sicily,328,91025,Climate Change,41,10,18
Italy,1918,August,Sardinia,236,54612,Deforestation,31,6,53
Russia,1918,June,Siberia,312,78094,Deforestation,40,26,56
Russia,1918,July,Far East,231,93727,Lightning,26,92,40
Canada,1918,September,British Columbia,301,63388,Climate Change,26,17,58
Canada,1918,October,Alberta,340,99043,Climate Change,49,7,6
France,1918,June,Corsica,15,75745,Climate Change,24,38,68
France,1918,July,Provence,241,99497,Human,46,24,58
China,1918,June,Yunnan,438,14899,Human,26,75,40
China,1918,May,Sichuan,49,43433,Climate Change,37,74,39
India,1918,June,Madhya Pradesh,218,83895,Human,29,76,38
India,1918,May,Assam,56,85881,Lightning,19,22,39
Turkey,1919,October,Mugla,377,14216,Deforestation,45,68,11
Turkey,1919,June,Antalya,127,90298,Human,30,58,36
Turkey,1919,June,Izmir,160,92609,Climate Change,30,63,54
Spain,1919,September,Catalonia,152,73595,Climate Change,41,62,28
Spain,1919,June,Andalusia,132,65130,Lightning,19,91,54
USA,1919,June,California,52,65986,Deforestation,23,68,55
USA,1919,September,Texas,183,89226,Unknown,17,68,30
USA,1919,August,Oregon,15,71876,Lightning,25,31,22
Brazil,1919,October,Amazonas,50,37029,Deforestation,25,86,66
Brazil,1919,July,Mato Grosso,295,43778,Unknown,15,29,44
Greece,1919,October,Athens,88,2086,Deforestation,16,86,65
Greece,1919,June,Crete,73,63845,Lightning,45,14,37
Australia,1919,October,New South Wales,89,65684,Human,17,78,6
Australia,1919,October,Victoria,222,71456,Climate Change,40,30,6
Portugal,1919,October,Lisbon,275,98526,Human,30,41,4
Portugal,1919,August,Porto,51,66160,Deforestation,35,70,55
Italy,1919,July,Sicily,170,11453,Lightning,39,15,9
Italy,1919,May,Sardinia,121,80803,Climate Change,22,67,65
Russia,1919,August,Siberia,268,40093,Lightning,43,13,16
Russia,1919,October,Far East,158,26093,Climate Change,30,40,38
Canada,1919,October,British Columbia,331,62988,Climate Change,30,32,49
Canada,1919,October,Alberta,163,30833,Climate Change,47,77,30
France,1919,July,Corsica,309,38926,Unknown,42,76,6
France,1919,June,Provence,139,13063,Human,41,62,47
China,1919,June,Yunnan,29,97452,Climate Change,41,5,43
China,1919,August,Sichuan,157,79072,Deforestation,20,62,54
India,1919,June,Madhya Pradesh,318,79029,Lightning,26,26,38
India,1919,August,Assam,107,86651,Unknown,15,69,2
Turkey,1920,September,Mugla,120,78672,Human,17,50,56
Turkey,1920,July,Antalya,220,5177,Unknown,40,81,66
Turkey,1920,June,Izmir,39,50811,Unknown,30,20,60
Spain,1920,May,Catalonia,247,95219,Human,48,15,66
Spain,1920,June,Andalusia,119,50855,Deforestation,19,17,11
USA,1920,July,California,470,58949,Human,37,75,60
USA,1920,July,Texas,208,11901,Human,29,6,33
USA,1920,August,Oregon,280,10837,Climate Change,46,32,2
Brazil,1920,August,Amazonas,60,98950,Unknown,39,84,59
Brazil,1920,July,Mato Grosso,69,60840,Deforestation,36,92,54
Greece,1920,August,Athens,168,92327,Unknown,32,54,42
Greece,1920,June,Crete,26,1144,Unknown,43,58,18
Australia,1920,August,New South Wales,163,39490,Human,16,52,15
Australia,1920,July,Victoria,357,21702,Lightning,34,6,42
Portugal,1920,July,Lisbon,127,40264,Lightning,30,8,13
Portugal,1920,September,Porto,395,24945,Unknown,49,9,33
Italy,1920,June,Sicily,175,30644,Climate Change,23,53,34
Italy,1920,August,Sardinia,104,59125,Human,43,82,26
Russia,1920,October,Siberia,124,49933,Climate Change,29,8,58
Russia,1920,May,Far East,176,60746,Deforestation,28,7,63
Canada,1920,June,British Columbia,324,26128,Lightning,32,62,21
Canada,1920,June,Alberta,116,93244,Human,27,72,53
France,1920,September,Corsica,12,29583,Lightning,19,73,32
France,1920,September,Provence,141,9347,Human,17,34,30
China,1920,July,Yunnan,478,84764,Climate Change,44,13,27
China,1920,June,Sichuan,66,62054,Unknown,39,55,14
India,1920,August,Madhya Pradesh,167,76186,Human,16,65,42
India,1920,August,Assam,68,81999,Lightning,46,86,59
Turkey,1921,June,Mugla,304,867,Deforestation,39,38,31
Turkey,1921,October,Antalya,378,40602,Deforestation,27,7,27
Turkey,1921,May,Izmir,130,65019,Climate Change,20,47,61
Spain,1921,June,Catalonia,309,43823,Human,16,15,19
Spain,1921,September,Andalusia,104,99019,Unknown,36,57,60
USA,1921,October,California,118,82510,Climate Change,44,12,58
USA,1921,May,Texas,119,81271,Human,33,9,28
USA,1921,June,Oregon,31,49953,Deforestation,43,43,61
Brazil,1921,May,Amazonas,293,24630,Climate Change,33,20,24
Brazil,1921,June,Mato Grosso,356,37487,Climate Change,42,73,50
Greece,1921,June,Athens,137,35890,Climate Change,42,37,24
Greece,1921,May,Crete,239,12405,Lightning,44,30,17
Australia,1921,September,New South Wales,43,19460,Lightning,15,42,3
Australia,1921,May,Victoria,138,27281,Lightning,38,22,28
Portugal,1921,May,Lisbon,76,13375,Lightning,31,66,30
Portugal,1921,June,Porto,74,80121,Lightning,26,18,23
Italy,1921,July,Sicily,155,95435,Lightning,39,17,11
Italy,1921,September,Sardinia,187,49502,Human,29,56,3
Russia,1921,May,Siberia,273,74053,Deforestation,48,39,4
Russia,1921,June,Far East,124,7710,Human,33,71,6
Canada,1921,July,British Columbia,143,32988,Unknown,19,5,64
Canada,1921,September,Alberta,214,57776,Human,16,41,46
France,1921,July,Corsica,410,33223,Deforestation,43,39,16
France,1921,August,Provence,355,47757,Human,30,78,50
China,1921,July,Yunnan,262,50490,Lightning,45,30,30
China,1921,July,Sichuan,338,77667,Human,15,57,68
India,1921,October,Madhya Pradesh,350,28661,Human,37,25,66
India,1921,September,Assam,287,40397,Deforestation,20,48,29
Turkey,1922,September,Mugla,21,68322,Deforestation,17,80,67
Turkey,1922,October,Antalya,218,35130,Climate Change,23,89,12
Turkey,1922,September,Izmir,103,29780,Lightning,38,35,34
Spain,1922,October,Catalonia,178,5896,Deforestation,42,64,32
Spain,1922,July,Andalusia,347,29925,Human,41,6,22
USA,1922,June,California,393,35607,Climate Change,35,24,62
USA,1922,October,Texas,152,75861,Human,16,36,27
USA,1922,October,Oregon,173,87462,Human,15,55,6
Brazil,1922,September,Amazonas,407,77807,Human,49,80,6
Brazil,1922,June,Mato Grosso,282,4892,Deforestation,34,35,34
Greece,1922,June,Athens,216,57951,Lightning,26,81,40
Greece,1922,May,Crete,434,14691,Unknown,23,91,51
Australia,1922,September,New South Wales,192,80478,Lightning,29,40,64
Australia,1922,September,Victoria,218,81203,Human,24,28,50
Portugal,1922,June,Lisbon,267,29287,Lightning,19,64,56
Portugal,1922,July,Porto,478,87680,Climate Change,28,83,50
Italy,1922,May,Sicily,157,89976,Human,37,61,59
Italy,1922,October,Sardinia,97,63745,Deforestation,27,86,24
Russia,1922,October,Siberia,242,56196,Lightning,23,37,33
Russia,1922,September,Far East,442,79988,Deforestation,41,74,35
Canada,1922,August,British Columbia,413,40743,Lightning,24,92,12
Canada,1922,July,Alberta,404,23869,Climate Change,44,84,8
France,1922,July,Corsica,20,67083,Unknown,49,25,51
France,1922,July,Provence,232,23635,Human,46,45,7
China,1922,July,Yunnan,408,98044,Lightning,23,57,62
China,1922,October,Sichuan,263,92215,Human,15,74,46
India,1922,June,Madhya Pradesh,435,10802,Climate Change,40,18,55
India,1922,October,Assam,259,89730,Deforestation,45,33,18
Turkey,1923,October,Mugla,236,3613,Climate Change,41,29,60
Turkey,1923,August,Antalya,342,93320,Lightning,23,68,21
Turkey,1923,October,Izmir,366,96441,Deforestation,44,57,64
Spain,1923,July,Catalonia,291,44627,Unknown,44,91,20
Spain,1923,August,Andalusia,19,29186,Deforestation,29,33,27
USA,1923,August,California,134,53431,Unknown,18,90,51
USA,1923,October,Texas,283,32926,Lightning,25,32,67
USA,1923,July,Oregon,140,75264,Deforestation,32,59,51
Brazil,1923,October,Amazonas,122,1837,Deforestation,23,15,64
Brazil,1923,August,Mato Grosso,464,46257,Unknown,25,43,26
Greece,1923,September,Athens,398,11534,Deforestation,36,25,61
Greece,1923,August,Crete,496,56899,Lightning,37,17,5
Australia,1923,August,New South Wales,338,92203,Human,49,25,59
Australia,1923,June,Victoria,357,89131,Deforestation,31,47,7
Portugal,1923,October,Lisbon,210,43174,Unknown,26,70,3
Portugal,1923,September,Porto,341,18753,Unknown,28,48,31
Italy,1923,May,Sicily,420,44113,Deforestation,38,10,28
Italy,1923,June,Sardinia,348,57672,Lightning,29,79,25
Russia,1923,May,Siberia,278,655,Unknown,42,75,24
Russia,1923,September,Far East,166,59374,Lightning,49,46,29
Canada,1923,July,British Columbia,214,7473,Lightning,42,28,9
Canada,1923,June,Alberta,122,39320,Unknown,41,9,50
France,1923,June,Corsica,290,96683,Lightning,48,11,41
France,1923,August,Provence,427,97569,Unknown,28,57,5
China,1923,June,Yunnan,470,50639,Human,21,32,68
China,1923,August,Sichuan,227,59858,Lightning,34,87,12
India,1923,July,Madhya Pradesh,475,93034,Climate Change,21,38,20
India,1923,June,Assam,13,58508,Climate Change,39,82,26
Turkey,1924,July,Mugla,43,58803,Deforestation,24,67,69
Turkey,1924,July,Antalya,151,63330,Unknown,35,82,34
Turkey,1924,June,Izmir,343,22401,Deforestation,32,79,49
Spain,1924,June,Catalonia,208,28569,Deforestation,43,6,3
Spain,1924,September,Andalusia,229,66373,Unknown,22,64,7
USA,1924,August,California,131,12278,Deforestation,15,37,41
USA,1924,September,Texas,277,76769,Human,48,13,36
USA,1924,June,Oregon,203,24114,Climate Change,34,29,68
Brazil,1924,August,Amazonas,194,24602,Lightning,36,15,49
Brazil,1924,July,Mato Grosso,167,70292,Climate Change,41,44,35
Greece,1924,August,Athens,387,55668,Human,30,13,34
Greece,1924,August,Crete,117,33272,Lightning,35,73,11
Australia,1924,October,New South Wales,252,86230,Human,27,69,21
Australia,1924,May,Victoria,243,96657,Lightning,23,71,12
Portugal,1924,August,Lisbon,398,25596,Human,39,15,63
Portugal,1924,October,Porto,168,36490,Climate Change,40,82,57
Italy,1924,May,Sicily,60,80871,Climate Change,44,16,36
Italy,1924,September,Sardinia,184,5634,Deforestation,37,72,53
Russia,1924,October,Siberia,481,81435,Human,43,68,13
Russia,1924,July,Far East,59,27297,Lightning,23,81,56
Canada,1924,August,British Columbia,349,56847,Human,16,17,32
Canada,1924,September,Alberta,118,94591,Unknown,41,19,34
France,1924,August,Corsica,174,46319,Climate Change,23,27,15
France,1924,July,Provence,157,83376,Climate Change,45,58,6
China,1924,September,Yunnan,160,69006,Human,49,51,39
China,1924,July,Sichuan,66,91344,Climate Change,36,12,53
India,1924,July,Madhya Pradesh,293,47185,Human,26,31,9
India,1924,August,Assam,366,24032,Human,43,24,17
Turkey,1925,May,Mugla,212,81526,Climate Change,43,94,32
Turkey,1925,August,Antalya,448,19887,Human,29,77,40
Turkey,1925,June,Izmir,180,47036,Lightning,29,10,44
Spain,1925,August,Catalonia,167,49477,Human,19,86,17
Spain,1925,May,Andalusia,100,29665,Lightning,36,35,11
USA,1925,May,California,336,9816,Unknown,20,24,6
USA,1925,May,Texas,318,36638,Climate Change,30,58,47
USA,1925,October,Oregon,196,91755,Deforestation,34,55,40
Brazil,1925,September,Amazonas,182,73989,Deforestation,47,35,55
Brazil,1925,August,Mato Grosso,38,10581,Lightning,37,50,57
Greece,1925,October,Athens,477,11040,Deforestation,34,38,45
Greece,1925,August,Crete,162,74654,Lightning,49,88,19
Australia,1925,September,New South Wales,112,47422,Deforestation,37,36,11
Australia,1925,July,Victoria,362,17321,Deforestation,48,21,55
Portugal,1925,August,Lisbon,217,86438,Lightning,33,51,7
Portugal,1925,June,Porto,184,13331,Deforestation,26,14,56
Italy,1925,May,Sicily,53,77575,Climate Change,38,59,26
Italy,1925,June,Sardinia,213,27328,Human,21,28,12
Russia,1925,May,Siberia,16,57478,Unknown,42,61,14
Russia,1925,July,Far East,494,51528,Human,26,38,32
Canada,1925,September,British Columbia,132,7969,Climate Change,45,6,16
Canada,1925,May,Alberta,79,26245,Unknown,25,33,67
France,1925,September,Corsica,20,42506,Climate Change,31,25,45
France,1925,August,Provence,23,5162,Climate Change,16,45,62
China,1925,June,Yunnan,75,99018,Deforestation,20,33,67
China,1925,July,Sichuan,328,17833,Human,42,34,26
India,1925,May,Madhya Pradesh,131,41252,Deforestation,20,22,11
India,1925,August,Assam,143,46512,Climate Change,34,69,53
Turkey,1926,July,Mugla,470,73804,Deforestation,31,59,37
Turkey,1926,September,Antalya,414,37784,Human,36,29,3
Turkey,1926,October,Izmir,393,94055,Unknown,20,25,27
Spain,1926,August,Catalonia,165,80241,Unknown,31,25,47
Spain,1926,October,Andalusia,276,45787,Unknown,43,12,4
USA,1926,May,California,279,47556,Lightning,29,90,23
USA,1926,October,Texas,117,64900,Climate Change,40,81,28
USA,1926,May,Oregon,388,90022,Deforestation,44,52,64
Brazil,1926,October,Amazonas,16,62719,Unknown,43,47,18
Brazil,1926,May,Mato Grosso,345,82076,Unknown,25,61,44
Greece,1926,July,Athens,190,26972,Climate Change,20,69,7
Greece,1926,June,Crete,26,21452,Human,29,94,52
Australia,1926,October,New South Wales,257,54313,Deforestation,15,64,47
Australia,1926,August,Victoria,446,2863,Deforestation,26,46,40
Portugal,1926,July,Lisbon,296,1687,Human,27,22,42
Portugal,1926,June,Porto,188,71419,Human,45,59,11
Italy,1926,August,Sicily,390,36169,Deforestation,45,74,68
Italy,1926,July,Sardinia,275,79568,Unknown,42,14,39
Russia,1926,May,Siberia,54,11349,Lightning,32,92,3
Russia,1926,August,Far East,486,7933,Lightning,19,15,66
Canada,1926,June,British Columbia,380,86884,Deforestation,16,89,21
Canada,1926,September,Alberta,475,2296,Unknown,26,26,21
France,1926,June,Corsica,133,34177,Human,38,18,37
France,1926,September,Provence,207,90235,Unknown,45,59,25
China,1926,September,Yunnan,156,29477,Human,25,55,36
China,1926,July,Sichuan,33,40200,Human,42,33,44
India,1926,July,Madhya Pradesh,142,3358,Lightning,28,80,48
India,1926,June,Assam,354,15875,Lightning,46,30,2
Turkey,1927,September,Mugla,126,32973,Lightning,31,34,53
Turkey,1927,July,Antalya,397,15993,Lightning,15,77,54
Turkey,1927,July,Izmir,360,61707,Climate Change,18,13,23
Spain,1927,June,Catalonia,208,82893,Deforestation,23,10,49
Spain,1927,October,Andalusia,243,93290,Climate Change,30,5,38
USA,1927,July,California,169,3296,Human,40,90,63
USA,1927,September,Texas,385,28325,Unknown,32,78,25
USA,1927,August,Oregon,41,77500,Climate Change,32,92,67
Brazil,1927,May,Amazonas,62,99894,Human,42,39,11
Brazil,1927,May,Mato Grosso,46,12984,Human,29,61,23
Greece,1927,May,Athens,219,5290,Unknown,39,10,35
Greece,1927,May,Crete,64,72672,Human,47,55,61
Australia,1927,October,New South Wales,297,80965,Human,43,62,15
Australia,1927,August,Victoria,424,60248,Lightning,35,32,69
Portugal,1927,October,Lisbon,212,45871,Deforestation,43,86,11
Portugal,1927,June,Porto,171,18485,Human,35,69,16
Italy,1927,August,Sicily,192,97696,Unknown,24,91,35
Italy,1927,August,Sardinia,114,57988,Lightning,24,58,66
Russia,1927,September,Siberia,5,13544,Human,42,27,18
Russia,1927,May,Far East,358,3056,Deforestation,42,46,62
Canada,1927,July,British Columbia,324,39810,Human,23,14,9
Canada,1927,September,Alberta,209,6558,Lightning,19,74,31
France,1927,May,Corsica,463,52343,Human,16,41,2
France,1927,August,Provence,360,38041,Lightning,39,7,10
China,1927,October,Yunnan,219,52783,Lightning,48,47,23
China,1927,October,Sichuan,246,36069,Lightning,46,20,2
India,1927,September,Madhya Pradesh,76,36245,Climate Change,29,57,45
India,1927,June,Assam,50,46504,Lightning,33,42,12
Turkey,1928,September,Mugla,303,19831,Unknown,35,86,58
Turkey,1928,June,Antalya,334,9669,Lightning,44,77,32
Turkey,1928,June,Izmir,251,7712,Climate Change,20,82,69
Spain,1928,June,Catalonia,115,10195,Human,33,55,64
Spain,1928,September,Andalusia,335,20531,Human,25,75,27
USA,1928,October,California,349,12918,Lightning,37,51,14
USA,1928,May,Texas,326,10021,Human,42,81,36
USA,1928,May,Oregon,465,84866,Climate Change,46,58,60
Brazil,1928,May,Amazonas,116,13641,Lightning,42,41,66
Brazil,1928,May,Mato Grosso,334,2586,Unknown,49,14,48
Greece,1928,July,Athens,274,70127,Climate Change,31,84,36
Greece,1928,June,Crete,335,48480,Human,17,33,19
Australia,1928,August,New South Wales,243,35333,Human,45,62,43
Australia,1928,June,Victoria,132,9525,Human,33,76,9
Portugal,1928,July,Lisbon,455,50511,Human,31,18,10
Portugal,1928,October,Porto,354,81967,Climate Change,46,15,21
Italy,1928,July,Sicily,57,93393,Deforestation,22,8,28
Italy,1928,August,Sardinia,428,87186,Unknown,41,89,53
Russia,1928,August,Siberia,328,88814,Climate Change,23,8,49
Russia,1928,June,Far East,106,61360,Unknown,33,92,59
Canada,1928,August,British Columbia,249,35493,Lightning,36,81,59
Canada,1928,May,Alberta,229,17376,Unknown,29,37,18
France,1928,October,Corsica,450,10992,Deforestation,30,70,44
France,1928,August,Provence,7,9952,Unknown,34,20,60
China,1928,September,Yunnan,181,33825,Deforestation,47,34,60
China,1928,August,Sichuan,19,21429,Unknown,37,82,46
India,1928,October,Madhya Pradesh,467,93482,Unknown,25,33,63
India,1928,May,Assam,56,12313,Human,33,70,23
Turkey,1929,August,Mugla,37,32683,Human,23,61,6
Turkey,1929,September,Antalya,349,99947,Climate Change,29,69,23
Turkey,1929,July,Izmir,106,44913,Unknown,32,86,68
Spain,1929,June,Catalonia,53,38474,Human,41,61,28
Spain,1929,July,Andalusia,117,86248,Deforestation,43,19,31
USA,1929,August,California,425,69772,Lightning,16,27,24
USA,1929,July,Texas,473,77299,Human,27,32,28
USA,1929,July,Oregon,324,7319,Human,15,22,64
Brazil,1929,July,Amazonas,397,66288,Climate Change,29,47,45
Brazil,1929,October,Mato Grosso,200,54011,Unknown,24,24,13
Greece,1929,October,Athens,406,51905,Unknown,34,29,13
Greece,1929,September,Crete,285,21614,Human,39,53,15
Australia,1929,May,New South Wales,213,94588,Deforestation,22,73,6
Australia,1929,May,Victoria,487,24822,Human,44,54,17
Portugal,1929,May,Lisbon,390,73841,Human,40,62,17
Portugal,1929,June,Porto,435,1295,Climate Change,38,59,16
Italy,1929,July,Sicily,76,32261,Lightning,41,78,24
Italy,1929,August,Sardinia,402,66008,Lightning,43,69,69
Russia,1929,May,Siberia,373,76221,Human,37,68,33
Russia,1929,August,Far East,211,50032,Unknown,16,23,25
Canada,1929,September,British Columbia,92,65646,Deforestation,36,19,11
Canada,1929,May,Alberta,415,94892,Unknown,42,69,18
France,1929,August,Corsica,142,63394,Climate Change,43,86,48
France,1929,October,Provence,235,38740,Unknown,28,48,55
China,1929,August,Yunnan,339,21634,Lightning,24,14,40
China,1929,August,Sichuan,162,37512,Deforestation,29,89,53
India,1929,September,Madhya Pradesh,60,6575,Unknown,23,27,64
India,1929,September,Assam,321,68875,Unknown,36,28,52
Turkey,1930,June,Mugla,222,1345,Human,30,26,58
Turkey,1930,October,Antalya,367,68149,Lightning,40,76,31
Turkey,1930,October,Izmir,238,15182,Human,23,35,10
Spain,1930,September,Catalonia,190,26854,Deforestation,47,25,65
Spain,1930,August,Andalusia,294,83206,Climate Change,35,36,53
USA,1930,July,California,229,4607,Climate Change,48,68,20
USA,1930,July,Texas,386,62322,Unknown,23,88,39
USA,1930,June,Oregon,214,33471,Climate Change,23,57,57
Brazil,1930,July,Amazonas,202,34481,Unknown,38,17,44
Brazil,1930,August,Mato Grosso,55,90998,Climate Change,41,87,25
Greece,1930,June,Athens,177,75007,Lightning,43,21,69
Greece,1930,August,Crete,497,69854,Climate Change,18,78,26
Australia,1930,July,New South Wales,115,11109,Human,39,53,27
Australia,1930,July,Victoria,31,68284,Lightning,15,65,4
Portugal,1930,August,Lisbon,301,47880,Deforestation,29,12,39
Portugal,1930,June,Porto,343,61458,Lightning,24,82,50
Italy,1930,May,Sicily,343,70529,Climate Change,45,75,32
Italy,1930,August,Sardinia,254,45898,Lightning,37,52,41
Russia,1930,October,Siberia,42,82700,Unknown,41,79,58
Russia,1930,May,Far East,248,45482,Deforestation,29,17,12
Canada,1930,August,British Columbia,369,57021,Unknown,38,77,5
Canada,1930,May,Alberta,50,15963,Lightning,30,37,11
France,1930,May,Corsica,191,96898,Unknown,17,59,15
France,1930,June,Provence,221,13413,Unknown,38,31,38
China,1930,October,Yunnan,226,22794,Lightning,15,8,30
China,1930,May,Sichuan,261,80718,Lightning,36,15,60
India,1930,October,Madhya Pradesh,341,3847,Lightning,35,17,10
India,1930,July,Assam,463,61609,Human,20,81,57
Turkey,1931,October,Mugla,297,96018,Deforestation,28,51,59
Turkey,1931,August,Antalya,292,37189,Lightning,24,85,31
Turkey,1931,September,Izmir,64,97776,Human,15,37,39
Spain,1931,May,Catalonia,414,41520,Deforestation,42,37,42
Spain,1931,October,Andalusia,61,89620,Human,15,16,7
USA,1931,May,California,453,60284,Human,46,7,50
USA,1931,July,Texas,320,98382,Climate Change,16,77,57
USA,1931,May,Oregon,448,75217,Unknown,31,53,61
Brazil,1931,August,Amazonas,438,72422,Deforestation,18,85,51
Brazil,1931,September,Mato Grosso,50,66829,Human,30,15,21
Greece,1931,October,Athens,284,736,Lightning,15,92,18
Greece,1931,October,Crete,93,95807,Climate Change,29,55,28
Australia,1931,October,New South Wales,78,2208,Lightning,45,16,47
Australia,1931,May,Victoria,241,12102,Climate Change,35,78,8
Portugal,1931,August,Lisbon,479,72599,Human,45,79,37
Portugal,1931,October,Porto,314,46810,Human,25,34,23
Italy,1931,September,Sicily,47,82899,Deforestation,41,41,47
Italy,1931,May,Sardinia,39,78567,Climate Change,40,23,46
Russia,1931,June,Siberia,154,30882,Unknown,15,48,44
Russia,1931,September,Far East,326,8180,Climate Change,23,81,62
Canada,1931,July,British Columbia,6,98475,Deforestation,27,61,68
Canada,1931,October,Alberta,145,17782,Human,33,58,62
France,1931,June,Corsica,182,35157,Deforestation,45,37,12
France,1931,May,Provence,258,45539,Climate Change,28,57,20
China,1931,May,Yunnan,127,40509,Deforestation,23,54,13
China,1931,October,Sichuan,378,74823,Deforestation,17,62,56
India,1931,May,Madhya Pradesh,149,52234,Lightning,18,59,46
India,1931,August,Assam,261,2680,Deforestation,35,56,44
Turkey,1932,August,Mugla,71,65632,Human,46,14,65
Turkey,1932,September,Antalya,72,14360,Unknown,18,83,18
Turkey,1932,August,Izmir,455,32530,Lightning,37,22,2
Spain,1932,July,Catalonia,324,84253,Deforestation,15,7,68
Spain,1932,September,Andalusia,471,49852,Human,43,94,5
USA,1932,May,California,274,38997,Deforestation,47,26,49
USA,1932,July,Texas,475,91064,Human,37,72,22
USA,1932,September,Oregon,175,42818,Climate Change,40,45,39
Brazil,1932,July,Amazonas,493,14418,Unknown,17,69,62
Brazil,1932,October,Mato Grosso,151,85777,Human,36,82,58
Greece,1932,July,Athens,146,80015,Human,27,16,56
Greece,1932,July,Crete,362,99850,Human,47,33,32
Australia,1932,May,New South Wales,116,50116,Climate Change,24,92,42
Australia,1932,September,Victoria,391,3870,Lightning,48,53,29
Portugal,1932,July,Lisbon,91,95952,Climate Change,47,73,68
Portugal,1932,September,Porto,448,44458,Climate Change,37,34,61
Italy,1932,June,Sicily,100,39320,Human,19,76,53
Italy,1932,August,Sardinia,422,85032,Human,19,42,27
Russia,1932,May,Siberia,264,62602,Lightning,47,37,21
Russia,1932,September,Far East,177,69210,Lightning,37,86,63
Canada,1932,August,British Columbia,46,61551,Human,23,7,10
Canada,1932,June,Alberta,183,25203,Lightning,28,7,25
France,1932,May,Corsica,145,66533,Climate Change,33,93,48
France,1932,October,Provence,207,53764,Climate Change,34,76,43
China,1932,September,Yunnan,13,39484,Human,16,23,21
China,1932,June,Sichuan,237,88653,Climate Change,20,21,69
India,1932,October,Madhya Pradesh,88,78310,Deforestation,32,30,57
India,1932,August,Assam,452,47467,Human,45,41,28
Turkey,1933,September,Mugla,8,84921,Lightning,46,92,38
Turkey,1933,May,Antalya,35,41440,Unknown,25,92,33
Turkey,1933,May,Izmir,170,35257,Lightning,33,88,57
Spain,1933,October,Catalonia,37,27757,Unknown,41,47,60
Spain,1933,August,Andalusia,101,53110,Climate Change,36,13,10
USA,1933,May,California,287,37236,Unknown,22,84,19
USA,1933,September,Texas,127,54404,Human,26,10,42
USA,1933,September,Oregon,447,57011,Lightning,32,69,55
Brazil,1933,September,Amazonas,140,486,Lightning,39,73,56
Brazil,1933,July,Mato Grosso,342,56514,Human,32,61,17
Greece,1933,October,Athens,429,12209,Deforestation,39,36,39
Greece,1933,October,Crete,404,56215,Climate Change,30,80,18
Australia,1933,September,New South Wales,68,96190,Human,27,76,57
Australia,1933,September,Victoria,272,39180,Deforestation,49,37,51
Portugal,1933,August,Lisbon,397,21068,Lightning,43,43,46
Portugal,1933,May,Porto,60,84293,Deforestation,19,18,68
Italy,1933,October,Sicily,246,83609,Lightning,39,81,17
Italy,1933,May,Sardinia,102,794,Climate Change,36,85,50
Russia,1933,May,Siberia,440,47461,Lightning,36,47,9
Russia,1933,July,Far East,197,73268,Unknown,18,81,42
Canada,1933,July,British Columbia,258,4202,Climate Change,19,85,31
Canada,1933,May,Alberta,266,94396,Deforestation,30,89,67
France,1933,June,Corsica,404,10632,Climate Change,27,36,48
France,1933,October,Provence,204,45582,Lightning,40,14,32
China,1933,May,Yunnan,161,99688,Climate Change,15,91,4
China,1933,July,Sichuan,459,52039,Deforestation,29,71,31
India,1933,June,Madhya Pradesh,335,50724,Climate Change,24,23,4
India,1933,August,Assam,303,86258,Human,40,84,37
Turkey,1934,May,Mugla,88,99504,Human,19,82,15
Turkey,1934,August,Antalya,491,88151,Deforestation,18,87,10
Turkey,1934,September,Izmir,81,96049,Unknown,24,41,24
Spain,1934,July,Catalonia,74,23869,Lightning,27,55,51
Spain,1934,August,Andalusia,23,46436,Climate Change,16,44,39
USA,1934,July,California,213,46614,Deforestation,22,90,69
USA,1934,July,Texas,460,1260,Lightning,16,84,60
USA,1934,July,Oregon,32,1195,Unknown,40,55,33
Brazil,1934,June,Amazonas,429,99877,Human,16,46,66
Brazil,1934,August,Mato Grosso,253,36527,Human,42,42,34
Greece,1934,June,Athens,321,26897,Human,32,74,16
Greece,1934,September,Crete,123,95118,Unknown,21,21,51
Australia,1934,October,New South Wales,59,31318,Human,27,51,63
Australia,1934,October,Victoria,33,29817,Human,43,52,6
Portugal,1934,June,Lisbon,167,69210,Lightning,33,75,47
Portugal,1934,July,Porto,177,8107,Unknown,39,48,61
Italy,1934,October,Sicily,155,66870,Climate Change,35,5,20
