Country,Year,Month,Region,Fires_Count,Burned_Area_Km,Cause,Temperature_C,Humidity_Percent,Wind_Speed_kmh,Period,Latitude,Longitude
USA,1911,June,California,498,301.63,Human,37,0.47,7,"[1911, 1921)",36.7783,-118.755997
USA,1911,September,Texas,431,277.72,Lightning,27,0.47,29,"[1911, 1921)",31.9686,-98.5456116
USA,1911,June,Oregon,319,281.91,Human,42,0.55,57,"[1911, 1921)",43.8041,-120.737257
Brazil,1911,July,Amazonas,164,862.26,Human,46,0.88,69,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1911,October,Mato Grosso,253,215.73,Deforestation,40,0.12,7,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1911,October,Athens,433,689.76,Climate Change,39,0.24,67,"[1911, 1921)",37.9755648,23.7348324
Greece,1911,June,Crete,305,977.49,Unknown,27,0.59,20,"[1911, 1921)",35.3084952,24.4633423
Australia,1911,July,New South Wales,491,382.96,Lightning,28,0.49,45,"[1911, 1921)",-31.8759835,147.2869493
Australia,1911,May,Victoria,197,211.42,Deforestation,36,0.27,57,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1911,October,Lisbon,279,554.71,Unknown,42,0.64,60,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1911,May,Porto,407,139.51,Deforestation,40,0.44,39,"[1911, 1921)",41.1502195,-8.6103497
Italy,1911,September,Sicily,130,833.86,Unknown,36,0.2,29,"[1911, 1921)",37.587794,14.155048
Italy,1911,July,Sardinia,448,89.76,Unknown,36,0.89,27,"[1911, 1921)",40.0912813,9.0305773
Russia,1911,September,Siberia,413,104.04,Deforestation,37,0.47,24,"[1911, 1921)",61.0137,99.1967
Russia,1911,October,Far East,81,5.9,Lightning,37,0.83,22,"[1911, 1921)",63.3109,135
Canada,1911,May,British Columbia,107,214.98,Deforestation,32,0.92,48,"[1911, 1921)",55.001251,-125.002441
Canada,1911,July,Alberta,174,217.38,Lightning,34,0.1,10,"[1911, 1921)",55.001251,-115.002136
France,1911,September,Corsica,113,818.2,Climate Change,40,0.44,46,"[1911, 1921)",42.188098,9.0683139
France,1911,September,Provence,181,147.78,Unknown,42,0.21,29,"[1911, 1921)",44.0145,6.2116
China,1911,May,Yunnan,454,303.32,Lightning,20,0.79,39,"[1911, 1921)",25.0453,102.7097
China,1911,October,Sichuan,433,836.97,Lightning,17,0.28,20,"[1911, 1921)",30.6509,104.0757
India,1911,June,Madhya Pradesh,452,593.51,Climate Change,38,0.39,63,"[1911, 1921)",22.9734,78.6569
India,1911,May,Assam,488,517.28,Human,48,0.93,17,"[1911, 1921)",26.2006,92.9376
Turkey,1912,June,Mugla,225,470.94,Deforestation,39,0.2,55,"[1911, 1921)",37.2154,28.3634
Turkey,1912,July,Antalya,333,427.24,Lightning,33,0.38,56,"[1911, 1921)",36.8969,30.7133
Turkey,1912,June,Izmir,38,905.56,Climate Change,20,0.25,49,"[1911, 1921)",38.4237,27.1428
Spain,1912,July,Catalonia,43,802.58,Lightning,24,0.34,19,"[1911, 1921)",41.5912,1.5209
Spain,1912,August,Andalusia,92,592.23,Climate Change,23,0.19,5,"[1911, 1921)",37.5443,4.7278
USA,1912,May,California,113,463.16,Lightning,18,0.85,17,"[1911, 1921)",36.7783,-118.755997
USA,1912,July,Texas,381,80.87,Climate Change,19,0.24,19,"[1911, 1921)",31.9686,-98.5456116
USA,1912,June,Oregon,97,354.4,Unknown,24,0.65,9,"[1911, 1921)",43.8041,-120.737257
Brazil,1912,July,Amazonas,195,76.33,Human,44,0.15,43,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1912,September,Mato Grosso,168,130.4,Unknown,24,0.77,53,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1912,June,Athens,250,326.67,Unknown,37,0.44,65,"[1911, 1921)",37.9755648,23.7348324
Greece,1912,September,Crete,155,611.84,Lightning,19,0.93,32,"[1911, 1921)",35.3084952,24.4633423
Australia,1912,June,New South Wales,280,28.95,Human,16,0.29,14,"[1911, 1921)",-31.8759835,147.2869493
Australia,1912,June,Victoria,363,8.31,Lightning,20,0.71,59,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1912,July,Lisbon,86,324.3,Unknown,19,0.87,60,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1912,August,Porto,471,9.93,Human,18,0.19,56,"[1911, 1921)",41.1502195,-8.6103497
Italy,1912,July,Sicily,187,147.05,Human,33,0.11,31,"[1911, 1921)",37.587794,14.155048
Italy,1912,July,Sardinia,309,983.64,Deforestation,22,0.86,43,"[1911, 1921)",40.0912813,9.0305773
Russia,1912,May,Siberia,195,338.98,Deforestation,24,0.38,37,"[1911, 1921)",61.0137,99.1967
Russia,1912,May,Far East,10,655.31,Lightning,37,0.1,30,"[1911, 1921)",63.3109,135
Canada,1912,October,British Columbia,413,15.62,Human,38,0.79,27,"[1911, 1921)",55.001251,-125.002441
Canada,1912,July,Alberta,386,937.65,Unknown,17,0.79,39,"[1911, 1921)",55.001251,-115.002136
France,1912,September,Corsica,82,235.74,Lightning,35,0.58,57,"[1911, 1921)",42.188098,9.0683139
France,1912,October,Provence,319,228.06,Unknown,46,0.9,60,"[1911, 1921)",44.0145,6.2116
China,1912,May,Yunnan,113,28.16,Unknown,49,0.07,8,"[1911, 1921)",25.0453,102.7097
China,1912,July,Sichuan,5,510.06,Unknown,37,0.45,43,"[1911, 1921)",30.6509,104.0757
India,1912,September,Madhya Pradesh,421,745.17,Unknown,31,0.52,6,"[1911, 1921)",22.9734,78.6569
India,1912,July,Assam,376,89.02,Unknown,28,0.67,62,"[1911, 1921)",26.2006,92.9376
Turkey,1913,May,Mugla,384,478.66,Lightning,28,0.83,28,"[1911, 1921)",37.2154,28.3634
Turkey,1913,June,Antalya,296,433.54,Deforestation,27,0.92,62,"[1911, 1921)",36.8969,30.7133
Turkey,1913,October,Izmir,376,295.24,Climate Change,15,0.38,63,"[1911, 1921)",38.4237,27.1428
Spain,1913,August,Catalonia,338,255.64,Climate Change,48,0.86,32,"[1911, 1921)",41.5912,1.5209
Spain,1913,September,Andalusia,413,211.29,Deforestation,16,0.85,57,"[1911, 1921)",37.5443,4.7278
USA,1913,October,California,97,518.96,Climate Change,36,0.39,17,"[1911, 1921)",36.7783,-118.755997
USA,1913,June,Texas,126,92.3,Human,30,0.62,3,"[1911, 1921)",31.9686,-98.5456116
USA,1913,August,Oregon,89,61.54,Lightning,44,0.1,21,"[1911, 1921)",43.8041,-120.737257
Brazil,1913,July,Amazonas,109,934.48,Human,19,0.46,58,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1913,June,Mato Grosso,269,900.62,Unknown,36,0.68,23,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1913,June,Athens,443,453.12,Deforestation,47,0.22,66,"[1911, 1921)",37.9755648,23.7348324
Greece,1913,May,Crete,5,3.15,Unknown,18,0.86,28,"[1911, 1921)",35.3084952,24.4633423
Australia,1913,July,New South Wales,63,999.71,Human,42,0.59,61,"[1911, 1921)",-31.8759835,147.2869493
Australia,1913,October,Victoria,322,56.83,Lightning,37,0.92,57,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1913,May,Lisbon,17,773.39,Lightning,27,0.47,40,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1913,September,Porto,430,461.32,Lightning,37,0.58,31,"[1911, 1921)",41.1502195,-8.6103497
Italy,1913,June,Sicily,358,418.85,Unknown,17,0.75,19,"[1911, 1921)",37.587794,14.155048
Italy,1913,June,Sardinia,267,956.27,Lightning,15,0.72,50,"[1911, 1921)",40.0912813,9.0305773
Russia,1913,August,Siberia,374,680.46,Climate Change,35,0.94,10,"[1911, 1921)",61.0137,99.1967
Russia,1913,July,Far East,435,347.35,Lightning,20,0.24,28,"[1911, 1921)",63.3109,135
Canada,1913,October,British Columbia,332,810.6,Human,38,0.51,64,"[1911, 1921)",55.001251,-125.002441
Canada,1913,May,Alberta,443,736.31,Deforestation,44,0.26,30,"[1911, 1921)",55.001251,-115.002136
France,1913,July,Corsica,429,846.77,Human,45,0.34,19,"[1911, 1921)",42.188098,9.0683139
France,1913,June,Provence,277,997.21,Human,29,0.6,23,"[1911, 1921)",44.0145,6.2116
China,1913,July,Yunnan,60,347.78,Deforestation,48,0.39,2,"[1911, 1921)",25.0453,102.7097
China,1913,August,Sichuan,345,609.92,Climate Change,15,0.55,2,"[1911, 1921)",30.6509,104.0757
India,1913,July,Madhya Pradesh,281,743.19,Deforestation,40,0.84,66,"[1911, 1921)",22.9734,78.6569
India,1913,August,Assam,78,965.26,Human,37,0.11,45,"[1911, 1921)",26.2006,92.9376
Turkey,1914,September,Mugla,331,677.91,Lightning,18,0.82,17,"[1911, 1921)",37.2154,28.3634
Turkey,1914,July,Antalya,6,248,Human,26,0.74,23,"[1911, 1921)",36.8969,30.7133
Turkey,1914,May,Izmir,344,84.2,Climate Change,20,0.87,19,"[1911, 1921)",38.4237,27.1428
Spain,1914,October,Catalonia,49,769.96,Lightning,27,0.11,45,"[1911, 1921)",41.5912,1.5209
Spain,1914,July,Andalusia,286,399.86,Unknown,41,0.61,62,"[1911, 1921)",37.5443,4.7278
USA,1914,June,California,59,798.37,Human,30,0.91,39,"[1911, 1921)",36.7783,-118.755997
USA,1914,October,Texas,417,33.25,Deforestation,29,0.71,30,"[1911, 1921)",31.9686,-98.5456116
USA,1914,June,Oregon,101,637.56,Human,37,0.75,4,"[1911, 1921)",43.8041,-120.737257
Brazil,1914,June,Amazonas,36,437.01,Deforestation,21,0.05,62,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1914,October,Mato Grosso,184,354.33,Lightning,21,0.94,31,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1914,August,Athens,409,555.21,Unknown,31,0.78,64,"[1911, 1921)",37.9755648,23.7348324
Greece,1914,June,Crete,311,143.71,Unknown,30,0.45,33,"[1911, 1921)",35.3084952,24.4633423
Australia,1914,October,New South Wales,159,823.03,Human,16,0.4,14,"[1911, 1921)",-31.8759835,147.2869493
Australia,1914,May,Victoria,219,558.39,Lightning,47,0.79,26,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1914,September,Lisbon,180,865.42,Climate Change,38,0.44,18,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1914,September,Porto,317,196.85,Human,38,0.13,69,"[1911, 1921)",41.1502195,-8.6103497
Italy,1914,May,Sicily,277,534.64,Lightning,44,0.44,59,"[1911, 1921)",37.587794,14.155048
Italy,1914,July,Sardinia,345,683.44,Lightning,43,0.28,18,"[1911, 1921)",40.0912813,9.0305773
Russia,1914,June,Siberia,46,5.95,Unknown,32,0.21,15,"[1911, 1921)",61.0137,99.1967
Russia,1914,May,Far East,161,745.62,Unknown,32,0.24,48,"[1911, 1921)",63.3109,135
Canada,1914,July,British Columbia,112,638.52,Climate Change,29,0.31,16,"[1911, 1921)",55.001251,-125.002441
Canada,1914,August,Alberta,489,269.7,Deforestation,40,0.56,27,"[1911, 1921)",55.001251,-115.002136
France,1914,May,Corsica,158,2.53,Unknown,32,0.57,4,"[1911, 1921)",42.188098,9.0683139
France,1914,June,Provence,485,111.49,Deforestation,31,0.37,50,"[1911, 1921)",44.0145,6.2116
China,1914,July,Yunnan,367,237,Lightning,49,0.76,53,"[1911, 1921)",25.0453,102.7097
China,1914,August,Sichuan,377,201.85,Unknown,30,0.28,62,"[1911, 1921)",30.6509,104.0757
India,1914,October,Madhya Pradesh,322,94.44,Human,39,0.14,17,"[1911, 1921)",22.9734,78.6569
India,1914,June,Assam,204,33.28,Unknown,20,0.2,21,"[1911, 1921)",26.2006,92.9376
Turkey,1915,May,Mugla,338,480.14,Lightning,40,0.82,34,"[1911, 1921)",37.2154,28.3634
Turkey,1915,June,Antalya,125,827.43,Deforestation,18,0.3,3,"[1911, 1921)",36.8969,30.7133
Turkey,1915,October,Izmir,112,116.49,Human,26,0.94,45,"[1911, 1921)",38.4237,27.1428
Spain,1915,May,Catalonia,273,201.45,Lightning,40,0.25,29,"[1911, 1921)",41.5912,1.5209
Spain,1915,August,Andalusia,428,836.21,Lightning,23,0.91,24,"[1911, 1921)",37.5443,4.7278
USA,1915,May,California,258,65.47,Unknown,16,0.88,21,"[1911, 1921)",36.7783,-118.755997
USA,1915,July,Texas,50,50.94,Unknown,16,0.82,17,"[1911, 1921)",31.9686,-98.5456116
USA,1915,July,Oregon,166,774.55,Climate Change,20,0.81,65,"[1911, 1921)",43.8041,-120.737257
Brazil,1915,August,Amazonas,282,31.89,Unknown,44,0.55,49,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1915,July,Mato Grosso,266,893.42,Climate Change,21,0.63,12,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1915,July,Athens,382,6.34,Climate Change,23,0.19,4,"[1911, 1921)",37.9755648,23.7348324
Greece,1915,September,Crete,458,641.16,Lightning,35,0.76,22,"[1911, 1921)",35.3084952,24.4633423
Australia,1915,May,New South Wales,271,865.37,Lightning,38,0.39,15,"[1911, 1921)",-31.8759835,147.2869493
Australia,1915,October,Victoria,270,857.43,Unknown,48,0.45,11,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1915,June,Lisbon,405,911.74,Deforestation,15,0.16,5,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1915,June,Porto,401,309.25,Climate Change,36,0.08,20,"[1911, 1921)",41.1502195,-8.6103497
Italy,1915,June,Sicily,16,216.84,Lightning,48,0.1,9,"[1911, 1921)",37.587794,14.155048
Italy,1915,September,Sardinia,311,650.52,Unknown,23,0.06,9,"[1911, 1921)",40.0912813,9.0305773
Russia,1915,June,Siberia,143,765.11,Climate Change,24,0.89,9,"[1911, 1921)",61.0137,99.1967
Russia,1915,August,Far East,481,105.92,Lightning,35,0.9,22,"[1911, 1921)",63.3109,135
Canada,1915,August,British Columbia,310,743.05,Unknown,38,0.91,8,"[1911, 1921)",55.001251,-125.002441
Canada,1915,May,Alberta,133,466.01,Climate Change,36,0.48,63,"[1911, 1921)",55.001251,-115.002136
France,1915,June,Corsica,394,837,Deforestation,38,0.55,11,"[1911, 1921)",42.188098,9.0683139
France,1915,September,Provence,252,165.53,Climate Change,38,0.37,60,"[1911, 1921)",44.0145,6.2116
China,1915,June,Yunnan,444,28.79,Human,46,0.8,49,"[1911, 1921)",25.0453,102.7097
China,1915,June,Sichuan,287,549.57,Human,46,0.3,26,"[1911, 1921)",30.6509,104.0757
India,1915,July,Madhya Pradesh,283,991.41,Human,37,0.35,65,"[1911, 1921)",22.9734,78.6569
India,1915,May,Assam,217,228.85,Lightning,47,0.88,36,"[1911, 1921)",26.2006,92.9376
Turkey,1916,July,Mugla,374,236.48,Lightning,38,0.76,31,"[1911, 1921)",37.2154,28.3634
Turkey,1916,August,Antalya,313,317.25,Unknown,25,0.7,59,"[1911, 1921)",36.8969,30.7133
Turkey,1916,June,Izmir,168,993.46,Climate Change,39,0.72,43,"[1911, 1921)",38.4237,27.1428
Spain,1916,July,Catalonia,214,950.48,Deforestation,37,0.58,66,"[1911, 1921)",41.5912,1.5209
Spain,1916,August,Andalusia,284,334.13,Climate Change,22,0.22,58,"[1911, 1921)",37.5443,4.7278
USA,1916,September,California,414,875.53,Climate Change,33,0.33,4,"[1911, 1921)",36.7783,-118.755997
USA,1916,June,Texas,108,603.82,Lightning,26,0.06,29,"[1911, 1921)",31.9686,-98.5456116
USA,1916,June,Oregon,81,476.88,Unknown,16,0.11,27,"[1911, 1921)",43.8041,-120.737257
Brazil,1916,June,Amazonas,92,136.15,Unknown,23,0.36,16,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1916,September,Mato Grosso,401,57.36,Deforestation,24,0.56,42,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1916,September,Athens,370,7.54,Lightning,21,0.44,29,"[1911, 1921)",37.9755648,23.7348324
Greece,1916,July,Crete,259,872.82,Unknown,35,0.74,66,"[1911, 1921)",35.3084952,24.4633423
Australia,1916,August,New South Wales,15,615.65,Climate Change,37,0.89,41,"[1911, 1921)",-31.8759835,147.2869493
Australia,1916,September,Victoria,155,355.5,Climate Change,18,0.84,32,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1916,September,Lisbon,366,322.52,Unknown,26,0.94,10,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1916,August,Porto,329,932.09,Unknown,42,0.6,59,"[1911, 1921)",41.1502195,-8.6103497
Italy,1916,October,Sicily,79,421.25,Unknown,47,0.75,57,"[1911, 1921)",37.587794,14.155048
Italy,1916,May,Sardinia,204,851.92,Deforestation,24,0.47,16,"[1911, 1921)",40.0912813,9.0305773
Russia,1916,October,Siberia,403,551.44,Climate Change,33,0.58,52,"[1911, 1921)",61.0137,99.1967
Russia,1916,June,Far East,400,267.27,Lightning,30,0.4,26,"[1911, 1921)",63.3109,135
Canada,1916,August,British Columbia,102,916.55,Climate Change,17,0.13,62,"[1911, 1921)",55.001251,-125.002441
Canada,1916,September,Alberta,150,57.29,Human,48,0.82,5,"[1911, 1921)",55.001251,-115.002136
France,1916,September,Corsica,429,566.74,Climate Change,29,0.32,43,"[1911, 1921)",42.188098,9.0683139
France,1916,August,Provence,120,114.32,Lightning,15,0.43,18,"[1911, 1921)",44.0145,6.2116
China,1916,July,Yunnan,351,50.51,Deforestation,40,0.53,63,"[1911, 1921)",25.0453,102.7097
China,1916,October,Sichuan,411,995.77,Unknown,23,0.72,3,"[1911, 1921)",30.6509,104.0757
India,1916,May,Madhya Pradesh,476,694.51,Deforestation,48,0.59,50,"[1911, 1921)",22.9734,78.6569
India,1916,August,Assam,478,360.19,Human,27,0.19,28,"[1911, 1921)",26.2006,92.9376
Turkey,1917,August,Mugla,468,461.15,Unknown,44,0.4,68,"[1911, 1921)",37.2154,28.3634
Turkey,1917,October,Antalya,373,70.97,Lightning,26,0.59,57,"[1911, 1921)",36.8969,30.7133
Turkey,1917,August,Izmir,355,892.31,Lightning,37,0.57,24,"[1911, 1921)",38.4237,27.1428
Spain,1917,August,Catalonia,20,494.16,Climate Change,29,0.21,38,"[1911, 1921)",41.5912,1.5209
Spain,1917,September,Andalusia,407,87.05,Climate Change,32,0.82,63,"[1911, 1921)",37.5443,4.7278
USA,1917,August,California,360,794.15,Unknown,33,0.48,8,"[1911, 1921)",36.7783,-118.755997
USA,1917,May,Texas,432,626.8,Unknown,48,0.7,56,"[1911, 1921)",31.9686,-98.5456116
USA,1917,June,Oregon,484,42.37,Human,27,0.73,11,"[1911, 1921)",43.8041,-120.737257
Brazil,1917,June,Amazonas,362,737.9,Unknown,35,0.12,66,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1917,August,Mato Grosso,373,687.85,Climate Change,44,0.89,50,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1917,May,Athens,149,452.24,Lightning,45,0.56,62,"[1911, 1921)",37.9755648,23.7348324
Greece,1917,October,Crete,175,303.7,Deforestation,47,0.17,63,"[1911, 1921)",35.3084952,24.4633423
Australia,1917,September,New South Wales,47,860.36,Unknown,24,0.1,58,"[1911, 1921)",-31.8759835,147.2869493
Australia,1917,May,Victoria,75,41.25,Deforestation,35,0.84,57,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1917,October,Lisbon,475,35.43,Unknown,39,0.32,6,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1917,September,Porto,22,798.9,Human,43,0.23,66,"[1911, 1921)",41.1502195,-8.6103497
Italy,1917,September,Sicily,391,199.81,Climate Change,49,0.44,68,"[1911, 1921)",37.587794,14.155048
Italy,1917,May,Sardinia,131,994.01,Climate Change,34,0.56,45,"[1911, 1921)",40.0912813,9.0305773
Russia,1917,September,Siberia,358,246.02,Deforestation,27,0.91,67,"[1911, 1921)",61.0137,99.1967
Russia,1917,July,Far East,215,743.31,Lightning,34,0.77,18,"[1911, 1921)",63.3109,135
Canada,1917,July,British Columbia,435,904.69,Unknown,33,0.21,40,"[1911, 1921)",55.001251,-125.002441
Canada,1917,June,Alberta,377,90.49,Deforestation,21,0.85,40,"[1911, 1921)",55.001251,-115.002136
France,1917,August,Corsica,428,128.16,Unknown,39,0.73,31,"[1911, 1921)",42.188098,9.0683139
France,1917,August,Provence,200,192.59,Climate Change,23,0.72,52,"[1911, 1921)",44.0145,6.2116
China,1917,October,Yunnan,329,594.05,Human,33,0.16,18,"[1911, 1921)",25.0453,102.7097
China,1917,October,Sichuan,348,939.98,Deforestation,37,0.85,2,"[1911, 1921)",30.6509,104.0757
India,1917,August,Madhya Pradesh,269,474.74,Unknown,38,0.64,36,"[1911, 1921)",22.9734,78.6569
India,1917,October,Assam,287,503.51,Unknown,15,0.89,50,"[1911, 1921)",26.2006,92.9376
Turkey,1918,September,Mugla,133,180.29,Deforestation,46,0.66,19,"[1911, 1921)",37.2154,28.3634
Turkey,1918,October,Antalya,420,72.94,Unknown,32,0.43,50,"[1911, 1921)",36.8969,30.7133
Turkey,1918,September,Izmir,86,262.83,Lightning,21,0.4,19,"[1911, 1921)",38.4237,27.1428
Spain,1918,August,Catalonia,42,143.66,Human,23,0.76,52,"[1911, 1921)",41.5912,1.5209
Spain,1918,July,Andalusia,86,516.88,Unknown,44,0.08,40,"[1911, 1921)",37.5443,4.7278
USA,1918,August,California,452,803.8,Unknown,26,0.7,23,"[1911, 1921)",36.7783,-118.755997
USA,1918,August,Texas,385,929.37,Unknown,29,0.92,2,"[1911, 1921)",31.9686,-98.5456116
USA,1918,May,Oregon,355,964.95,Lightning,19,0.54,43,"[1911, 1921)",43.8041,-120.737257
Brazil,1918,October,Amazonas,384,870.23,Lightning,16,0.78,18,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1918,August,Mato Grosso,331,331.85,Human,45,0.38,46,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1918,June,Athens,183,81.61,Lightning,29,0.82,51,"[1911, 1921)",37.9755648,23.7348324
Greece,1918,September,Crete,420,886.78,Lightning,17,0.8,49,"[1911, 1921)",35.3084952,24.4633423
Australia,1918,May,New South Wales,11,751.2,Lightning,18,0.14,18,"[1911, 1921)",-31.8759835,147.2869493
Australia,1918,August,Victoria,138,571.42,Climate Change,46,0.78,10,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1918,July,Lisbon,209,438.3,Climate Change,38,0.08,25,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1918,July,Porto,487,891.8,Climate Change,49,0.6,41,"[1911, 1921)",41.1502195,-8.6103497
Italy,1918,September,Sicily,328,910.25,Climate Change,41,0.1,18,"[1911, 1921)",37.587794,14.155048
Italy,1918,August,Sardinia,236,546.12,Deforestation,31,0.06,53,"[1911, 1921)",40.0912813,9.0305773
Russia,1918,June,Siberia,312,780.94,Deforestation,40,0.26,56,"[1911, 1921)",61.0137,99.1967
Russia,1918,July,Far East,231,937.27,Lightning,26,0.92,40,"[1911, 1921)",63.3109,135
Canada,1918,September,British Columbia,301,633.88,Climate Change,26,0.17,58,"[1911, 1921)",55.001251,-125.002441
Canada,1918,October,Alberta,340,990.43,Climate Change,49,0.07,6,"[1911, 1921)",55.001251,-115.002136
France,1918,June,Corsica,15,757.45,Climate Change,24,0.38,68,"[1911, 1921)",42.188098,9.0683139
France,1918,July,Provence,241,994.97,Human,46,0.24,58,"[1911, 1921)",44.0145,6.2116
China,1918,June,Yunnan,438,148.99,Human,26,0.75,40,"[1911, 1921)",25.0453,102.7097
China,1918,May,Sichuan,49,434.33,Climate Change,37,0.74,39,"[1911, 1921)",30.6509,104.0757
India,1918,June,Madhya Pradesh,218,838.95,Human,29,0.76,38,"[1911, 1921)",22.9734,78.6569
India,1918,May,Assam,56,858.81,Lightning,19,0.22,39,"[1911, 1921)",26.2006,92.9376
Turkey,1919,October,Mugla,377,142.16,Deforestation,45,0.68,11,"[1911, 1921)",37.2154,28.3634
Turkey,1919,June,Antalya,127,902.98,Human,30,0.58,36,"[1911, 1921)",36.8969,30.7133
Turkey,1919,June,Izmir,160,926.09,Climate Change,30,0.63,54,"[1911, 1921)",38.4237,27.1428
Spain,1919,September,Catalonia,152,735.95,Climate Change,41,0.62,28,"[1911, 1921)",41.5912,1.5209
Spain,1919,June,Andalusia,132,651.3,Lightning,19,0.91,54,"[1911, 1921)",37.5443,4.7278
USA,1919,June,California,52,659.86,Deforestation,23,0.68,55,"[1911, 1921)",36.7783,-118.755997
USA,1919,September,Texas,183,892.26,Unknown,17,0.68,30,"[1911, 1921)",31.9686,-98.5456116
USA,1919,August,Oregon,15,718.76,Lightning,25,0.31,22,"[1911, 1921)",43.8041,-120.737257
Brazil,1919,October,Amazonas,50,370.29,Deforestation,25,0.86,66,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1919,July,Mato Grosso,295,437.78,Unknown,15,0.29,44,"[1911, 1921)",-12.2115009,-55.5716547
Greece,1919,October,Athens,88,20.86,Deforestation,16,0.86,65,"[1911, 1921)",37.9755648,23.7348324
Greece,1919,June,Crete,73,638.45,Lightning,45,0.14,37,"[1911, 1921)",35.3084952,24.4633423
Australia,1919,October,New South Wales,89,656.84,Human,17,0.78,6,"[1911, 1921)",-31.8759835,147.2869493
Australia,1919,October,Victoria,222,714.56,Climate Change,40,0.3,6,"[1911, 1921)",-36.5986096,144.6780052
Portugal,1919,October,Lisbon,275,985.26,Human,30,0.41,4,"[1911, 1921)",38.7077507,-9.1365919
Portugal,1919,August,Porto,51,661.6,Deforestation,35,0.7,55,"[1911, 1921)",41.1502195,-8.6103497
Italy,1919,July,Sicily,170,114.53,Lightning,39,0.15,9,"[1911, 1921)",37.587794,14.155048
Italy,1919,May,Sardinia,121,808.03,Climate Change,22,0.67,65,"[1911, 1921)",40.0912813,9.0305773
Russia,1919,August,Siberia,268,400.93,Lightning,43,0.13,16,"[1911, 1921)",61.0137,99.1967
Russia,1919,October,Far East,158,260.93,Climate Change,30,0.4,38,"[1911, 1921)",63.3109,135
Canada,1919,October,British Columbia,331,629.88,Climate Change,30,0.32,49,"[1911, 1921)",55.001251,-125.002441
Canada,1919,October,Alberta,163,308.33,Climate Change,47,0.77,30,"[1911, 1921)",55.001251,-115.002136
France,1919,July,Corsica,309,389.26,Unknown,42,0.76,6,"[1911, 1921)",42.188098,9.0683139
France,1919,June,Provence,139,130.63,Human,41,0.62,47,"[1911, 1921)",44.0145,6.2116
China,1919,June,Yunnan,29,974.52,Climate Change,41,0.05,43,"[1911, 1921)",25.0453,102.7097
China,1919,August,Sichuan,157,790.72,Deforestation,20,0.62,54,"[1911, 1921)",30.6509,104.0757
India,1919,June,Madhya Pradesh,318,790.29,Lightning,26,0.26,38,"[1911, 1921)",22.9734,78.6569
India,1919,August,Assam,107,866.51,Unknown,15,0.69,2,"[1911, 1921)",26.2006,92.9376
Turkey,1920,September,Mugla,120,786.72,Human,17,0.5,56,"[1911, 1921)",37.2154,28.3634
Turkey,1920,July,Antalya,220,51.77,Unknown,40,0.81,66,"[1911, 1921)",36.8969,30.7133
Turkey,1920,June,Izmir,39,508.11,Unknown,30,0.2,60,"[1911, 1921)",38.4237,27.1428
Spain,1920,May,Catalonia,247,952.19,Human,48,0.15,66,"[1911, 1921)",41.5912,1.5209
Spain,1920,June,Andalusia,119,508.55,Deforestation,19,0.17,11,"[1911, 1921)",37.5443,4.7278
USA,1920,July,California,470,589.49,Human,37,0.75,60,"[1911, 1921)",36.7783,-118.755997
USA,1920,July,Texas,208,119.01,Human,29,0.06,33,"[1911, 1921)",31.9686,-98.5456116
USA,1920,August,Oregon,280,108.37,Climate Change,46,0.32,2,"[1911, 1921)",43.8041,-120.737257
Brazil,1920,August,Amazonas,60,989.5,Unknown,39,0.84,59,"[1911, 1921)",-3.0967614,-65.8561
Brazil,1920,July,Mato Grosso,69,608.4,Deforestation,36,0.92,54,"[1911, 1921)",-12.2115009,-55.5716547
